/"OreDict Key","ItemStacks"
"dustTinyConglomerate","[contenttweaker:material_part@617 - 'Tiny Conglomerate Dust' - <no NBT>]"
"dustTinyDacite","[contenttweaker:material_part@509 - 'Tiny Dacite Dust' - <no NBT>]"
"dustTinyDarkOak","[contenttweaker:material_part@828 - 'Tiny Dark Oak Dust' - <no NBT>]"
"dustTinyDiabase","[contenttweaker:material_part@473 - 'Tiny Diabase Dust' - <no NBT>]"
"dustTinyDolomite","[contenttweaker:material_part@599 - 'Tiny Dolomite Dust' - <no NBT>]"
"dustTinyEclogite","[contenttweaker:material_part@527 - 'Tiny Eclogite Dust' - <no NBT>]"
"dustTinyGabbro","[contenttweaker:material_part@608 - 'Tiny Gabbro Dust' - <no NBT>]"
"dustTinyGneiss","[contenttweaker:material_part@518 - 'Tiny Gneiss Dust' - <no NBT>]"
"dustTinyGranite","[contenttweaker:material_part@464 - 'Tiny Granite Dust' - <no NBT>]"
"dustTinyGreywacke","[contenttweaker:material_part@626 - 'Tiny Greywacke Dust' - <no NBT>]"
"dustTinyHornfels","[contenttweaker:material_part@554 - 'Tiny Hornfels Dust' - <no NBT>]"
"dustTinyIron","[contenttweaker:material_part@831 - 'Tiny Iron Dust' - <no NBT>]"
"dustTinyJungle","[contenttweaker:material_part@822 - 'Tiny Jungle Dust' - <no NBT>]"
"dustTinyKimberlite","[contenttweaker:material_part@491 - 'Tiny Kimberlite Dust' - <no NBT>]"
"dustTinyKomatiite","[contenttweaker:material_part@500 - 'Tiny Komatiite Dust' - <no NBT>]"
"dustTinyLimestone","[contenttweaker:material_part@635 - 'Tiny Limestone Dust' - <no NBT>]"
"dustTinyLumium","[contenttweaker:material_part@391 - 'Tiny Lumium Dust' - <no NBT>]"
"dustTinyMarble","[contenttweaker:material_part@536 - 'Tiny Marble Dust' - <no NBT>]"
"dustTinyMigmatite","[contenttweaker:material_part@581 - 'Tiny Migmatite Dust' - <no NBT>]"
"dustTinyOak","[contenttweaker:material_part@813 - 'Tiny Oak Dust' - <no NBT>]"
"dustTinyPolyethylene","[contenttweaker:material_part@834 - 'Tiny Polyethylene Dust' - <no NBT>]"
"dustTinyQuartzite","[contenttweaker:material_part@545 - 'Tiny Quartzite Dust' - <no NBT>]"
"dustTinyRhyolite","[contenttweaker:material_part@482 - 'Tiny Rhyolite Dust' - <no NBT>]"
"dustTinyRubber","[contenttweaker:material_part@837 - 'Tiny Rubber Dust' - <no NBT>]"
"dustTinyRuby","[contenttweaker:material_part@810 - 'Tiny Ruby Dust' - <no NBT>]"
"dustTinySchist","[contenttweaker:material_part@563 - 'Tiny Schist Dust' - <no NBT>]"
"dustTinyShale","[contenttweaker:material_part@644 - 'Tiny Shale Dust' - <no NBT>]"
"dustTinySiltstone","[contenttweaker:material_part@653 - 'Tiny Siltstone Dust' - <no NBT>]"
"dustTinySoapstone","[contenttweaker:material_part@572 - 'Tiny Soapstone Dust' - <no NBT>]"
"dustTinySpruce","[contenttweaker:material_part@819 - 'Tiny Spruce Dust' - <no NBT>]"
"dustTitanium","[libvulpes:productdust@7 - 'Titanium Dust' - <no NBT>]"
"dustTitaniumAluminide","[advancedrocketry:productdust@0 - 'Titanium Aluminide Dust' - <no NBT>]"
"dustTitaniumIridium","[advancedrocketry:productdust@1 - 'Titanium Iridium Alloy Dust' - <no NBT>]"
"dye","[minecraft:dye@32767 - '(WILDCARD)' - <no NBT>]; [extrautils2:ingredients@14 - 'Blue Dye' - <no NBT>]"
"dyeBlack","[minecraft:dye@0 - 'Ink Sac' - <no NBT>]; [biomesoplenty:black_dye@0 - 'Black Dye' - <no NBT>]; [quark:root_dye@1 - 'Black Dye' - <no NBT>]"
"dyeBlue","[minecraft:dye@4 - 'Lapis Lazuli' - <no NBT>]; [biomesoplenty:blue_dye@0 - 'Blue Dye' - <no NBT>]; [extrautils2:ingredients@14 - 'Blue Dye' - <no NBT>]; [quark:root_dye@0 - 'Blue Dye' - <no NBT>]"
"dyeBrown","[minecraft:dye@3 - 'Cocoa Beans' - <no NBT>]; [biomesoplenty:brown_dye@0 - 'Brown Dye' - <no NBT>]"
"dyeCyan","[minecraft:dye@6 - 'Cyan Dye' - <no NBT>]"
"dyeGray","[minecraft:dye@8 - 'Gray Dye' - <no NBT>]"
"dyeGreen","[minecraft:dye@2 - 'Cactus Green' - <no NBT>]; [biomesoplenty:green_dye@0 - 'Green Dye' - <no NBT>]"
"dyeLightBlue","[minecraft:dye@12 - 'Light Blue Dye' - <no NBT>]"
"dyeLightGray","[minecraft:dye@7 - 'Light Gray Dye' - <no NBT>]"
"dyeLime","[minecraft:dye@10 - 'Lime Dye' - <no NBT>]"
"dyeMagenta","[minecraft:dye@13 - 'Magenta Dye' - <no NBT>]; [extrautils2:ingredients@3 - 'Lunar Reactive Dust' - <no NBT>]"
"dyeOrange","[minecraft:dye@14 - 'Orange Dye' - <no NBT>]"
"dyePink","[minecraft:dye@9 - 'Pink Dye' - <no NBT>]"
"dyePurple","[minecraft:dye@5 - 'Purple Dye' - <no NBT>]"
"dyeRed","[minecraft:dye@1 - 'Rose Red' - <no NBT>]"
"dyeSilver",""
"dyeWhite","[minecraft:dye@15 - 'Bone Meal' - <no NBT>]; [biomesoplenty:white_dye@0 - 'White Dye' - <no NBT>]; [quark:root_dye@2 - 'White Dye' - <no NBT>]"
"dyeYellow","[minecraft:dye@11 - 'Dandelion Yellow' - <no NBT>]"
"egg","[minecraft:egg@0 - 'Egg' - <no NBT>]; [betteranimalsplus:pheasant_egg@0 - 'Pheasant Egg' - <no NBT>]; [betteranimalsplus:turkey_egg@0 - 'Turkey Egg' - <no NBT>]; [betteranimalsplus:goose_egg@0 - 'Goose Egg' - <no NBT>]; [duckcraft:duckeggitem@0 - 'Duck Egg' - <no NBT>]"
"eggCookable","[betteranimalsplus:pheasant_egg@0 - 'Pheasant Egg' - <no NBT>]; [betteranimalsplus:turkey_egg@0 - 'Turkey Egg' - <no NBT>]; [betteranimalsplus:goose_egg@0 - 'Goose Egg' - <no NBT>]"
"enchantedfabric",""
"enderpearl","[minecraft:ender_pearl@0 - 'Ender Pearl' - <no NBT>]"
"endstone","[minecraft:end_stone@0 - 'End Stone' - <no NBT>]"
"exquisiteGemRuby","[contenttweaker:material_part@861 - 'Exquisite Ruby' - <no NBT>]"
"eyeofredstone","[extrautils2:ingredients@2 - 'Eye of Redstone' - <no NBT>]"
"fanSteel","[libvulpes:productfan@6 - 'Steel Fan' - <no NBT>]"
"feather","[minecraft:feather@0 - 'Feather' - <no NBT>]"
"featherDuck","[duckcraft:duckfeatheritem@0 - 'Duck Feather' - <no NBT>]"
"fenceGateWood","[minecraft:fence_gate@0 - 'Oak Fence Gate' - <no NBT>]; [minecraft:spruce_fence_gate@0 - 'Spruce Fence Gate' - <no NBT>]; [minecraft:birch_fence_gate@0 - 'Birch Fence Gate' - <no NBT>]; [minecraft:jungle_fence_gate@0 - 'Jungle Fence Gate' - <no NBT>]; [minecraft:dark_oak_fence_gate@0 - 'Dark Oak Fence Gate' - <no NBT>]; [minecraft:acacia_fence_gate@0 - 'Acacia Fence Gate' - <no NBT>]; [biomesoplenty:sacred_oak_fence_gate@0 - 'Sacred Oak Fence Gate' - <no NBT>]; [biomesoplenty:cherry_fence_gate@0 - 'Cherry Fence Gate' - <no NBT>]; [biomesoplenty:umbran_fence_gate@0 - 'Umbran Fence Gate' - <no NBT>]; [biomesoplenty:fir_fence_gate@0 - 'Fir Fence Gate' - <no NBT>]; [biomesoplenty:ethereal_fence_gate@0 - 'Ethereal Fence Gate' - <no NBT>]; [biomesoplenty:magic_fence_gate@0 - 'Magic Fence Gate' - <no NBT>]; [biomesoplenty:mangrove_fence_gate@0 - 'Mangrove Fence Gate' - <no NBT>]; [biomesoplenty:palm_fence_gate@0 - 'Palm Fence Gate' - <no NBT>]; [biomesoplenty:redwood_fence_gate@0 - 'Redwood Fence Gate' - <no NBT>]; [biomesoplenty:willow_fence_gate@0 - 'Willow Fence Gate' - <no NBT>]; [biomesoplenty:pine_fence_gate@0 - 'Pine Fence Gate' - <no NBT>]; [biomesoplenty:hellbark_fence_gate@0 - 'Hellbark Fence Gate' - <no NBT>]; [biomesoplenty:jacaranda_fence_gate@0 - 'Jacaranda Fence Gate' - <no NBT>]; [biomesoplenty:mahogany_fence_gate@0 - 'Mahogany Fence Gate' - <no NBT>]; [biomesoplenty:ebony_fence_gate@0 - 'Ebony Fence Gate' - <no NBT>]; [biomesoplenty:eucalyptus_fence_gate@0 - 'Eucalyptus Fence Gate' - <no NBT>]; [pvj:willow_fence_gate@0 - 'Willow Fence Gate' - <no NBT>]; [pvj:mangrove_fence_gate@0 - 'Mangrove Fence Gate' - <no NBT>]; [pvj:palm_fence_gate@0 - 'Palm Fence Gate' - <no NBT>]; [pvj:redwood_fence_gate@0 - 'Redwood Fence Gate' - <no NBT>]; [pvj:fir_fence_gate@0 - 'Fir Fence Gate' - <no NBT>]; [pvj:pine_fence_gate@0 - 'Pine Fence Gate' - <no NBT>]; [pvj:aspen_fence_gate@0 - 'Aspen Fence Gate' - <no NBT>]; [pvj:maple_fence_gate@0 - 'Maple Fence Gate' - <no NBT>]; [pvj:baobab_fence_gate@0 - 'Baobab Fence Gate' - <no NBT>]; [pvj:cottonwood_fence_gate@0 - 'Cottonwood Fence Gate' - <no NBT>]; [pvj:juniper_fence_gate@0 - 'Juniper Fence Gate' - <no NBT>]; [pvj:cherry_blossom_fence_gate@0 - 'Cherry Blossom Fence Gate' - <no NBT>]; [pvj:jacaranda_fence_gate@0 - 'Jacaranda Fence Gate' - <no NBT>]"
"fenceWood","[minecraft:fence@0 - 'Oak Fence' - <no NBT>]; [minecraft:spruce_fence@0 - 'Spruce Fence' - <no NBT>]; [minecraft:birch_fence@0 - 'Birch Fence' - <no NBT>]; [minecraft:jungle_fence@0 - 'Jungle Fence' - <no NBT>]; [minecraft:dark_oak_fence@0 - 'Dark Oak Fence' - <no NBT>]; [minecraft:acacia_fence@0 - 'Acacia Fence' - <no NBT>]; [biomesoplenty:sacred_oak_fence@0 - 'Sacred Oak Fence' - <no NBT>]; [biomesoplenty:cherry_fence@0 - 'Cherry Fence' - <no NBT>]; [biomesoplenty:umbran_fence@0 - 'Umbran Fence' - <no NBT>]; [biomesoplenty:fir_fence@0 - 'Fir Fence' - <no NBT>]; [biomesoplenty:ethereal_fence@0 - 'Ethereal Fence' - <no NBT>]; [biomesoplenty:magic_fence@0 - 'Magic Fence' - <no NBT>]; [biomesoplenty:mangrove_fence@0 - 'Mangrove Fence' - <no NBT>]; [biomesoplenty:palm_fence@0 - 'Palm Fence' - <no NBT>]; [biomesoplenty:redwood_fence@0 - 'Redwood Fence' - <no NBT>]; [biomesoplenty:willow_fence@0 - 'Willow Fence' - <no NBT>]; [biomesoplenty:pine_fence@0 - 'Pine Fence' - <no NBT>]; [biomesoplenty:hellbark_fence@0 - 'Hellbark Fence' - <no NBT>]; [biomesoplenty:jacaranda_fence@0 - 'Jacaranda Fence' - <no NBT>]; [biomesoplenty:mahogany_fence@0 - 'Mahogany Fence' - <no NBT>]; [biomesoplenty:ebony_fence@0 - 'Ebony Fence' - <no NBT>]; [biomesoplenty:eucalyptus_fence@0 - 'Eucalyptus Fence' - <no NBT>]; [pvj:willow_fence@0 - 'Willow Fence' - <no NBT>]; [pvj:mangrove_fence@0 - 'Mangrove Fence' - <no NBT>]; [pvj:palm_fence@0 - 'Palm Fence' - <no NBT>]; [pvj:redwood_fence@0 - 'Redwood Fence' - <no NBT>]; [pvj:fir_fence@0 - 'Fir Fence' - <no NBT>]; [pvj:pine_fence@0 - 'Pine Fence' - <no NBT>]; [pvj:aspen_fence@0 - 'Aspen Fence' - <no NBT>]; [pvj:maple_fence@0 - 'Maple Fence' - <no NBT>]; [pvj:baobab_fence@0 - 'Baobab Fence' - <no NBT>]; [pvj:cottonwood_fence@0 - 'Cottonwood Fence' - <no NBT>]; [pvj:juniper_fence@0 - 'Juniper Fence' - <no NBT>]; [pvj:cherry_blossom_fence@0 - 'Cherry Blossom Fence' - <no NBT>]; [pvj:jacaranda_fence@0 - 'Jacaranda Fence' - <no NBT>]"
"fineDustChalk","[contenttweaker:material_part@591 - 'Fine Chalk Dust' - <no NBT>]"
"fineDustConglomerate","[contenttweaker:material_part@618 - 'Fine Conglomerate Dust' - <no NBT>]"
"fineDustDacite","[contenttweaker:material_part@510 - 'Fine Dacite Dust' - <no NBT>]"
"fineDustDiabase","[contenttweaker:material_part@474 - 'Fine Diabase Dust' - <no NBT>]"
"fineDustDolomite","[contenttweaker:material_part@600 - 'Fine Dolomite Dust' - <no NBT>]"
"fineDustEclogite","[contenttweaker:material_part@528 - 'Fine Eclogite Dust' - <no NBT>]"
"fineDustGabbro","[contenttweaker:material_part@609 - 'Fine Gabbro Dust' - <no NBT>]"
"fineDustGneiss","[contenttweaker:material_part@519 - 'Fine Gneiss Dust' - <no NBT>]"
"fineDustGranite","[contenttweaker:material_part@465 - 'Fine Granite Dust' - <no NBT>]"
"fineDustGreywacke","[contenttweaker:material_part@627 - 'Fine Greywacke Dust' - <no NBT>]"
"fineDustHornfels","[contenttweaker:material_part@555 - 'Fine Hornfels Dust' - <no NBT>]"
"fineDustKimberlite","[contenttweaker:material_part@492 - 'Fine Kimberlite Dust' - <no NBT>]"
"fineDustKomatiite","[contenttweaker:material_part@501 - 'Fine Komatiite Dust' - <no NBT>]"
"fineDustLimestone","[contenttweaker:material_part@636 - 'Fine Limestone Dust' - <no NBT>]"
"fineDustLumium","[contenttweaker:material_part@392 - 'Fine Lumium Dust' - <no NBT>]"
"fineDustMarble","[contenttweaker:material_part@537 - 'Fine Marble Dust' - <no NBT>]"
"fineDustMigmatite","[contenttweaker:material_part@582 - 'Fine Migmatite Dust' - <no NBT>]"
"fineDustQuartzite","[contenttweaker:material_part@546 - 'Fine Quartzite Dust' - <no NBT>]"
"fineDustRhyolite","[contenttweaker:material_part@483 - 'Fine Rhyolite Dust' - <no NBT>]"
"fineDustSchist","[contenttweaker:material_part@564 - 'Fine Schist Dust' - <no NBT>]"
"fineDustShale","[contenttweaker:material_part@645 - 'Fine Shale Dust' - <no NBT>]"
"fineDustSiltstone","[contenttweaker:material_part@654 - 'Fine Siltstone Dust' - <no NBT>]"
"fineDustSoapstone","[contenttweaker:material_part@573 - 'Fine Soapstone Dust' - <no NBT>]"
"fineWireIron","[contenttweaker:material_part@684 - 'Fine Iron Wire' - <no NBT>]"
"fineWireLumium","[contenttweaker:material_part@769 - 'Fine Lumium Wire' - <no NBT>]"
"fish","[minecraft:fish@32767 - '(WILDCARD)' - <no NBT>]"
"fleshfiredragon",""
"fleshicedragon",""
"flourEqualswheat","[minecraft:wheat@0 - 'Wheat' - <no NBT>]; [harvestcraft:flouritem@0 - 'Flour' - <no NBT>]"
"flowerBlueHydrangea","[biomesoplenty:flower_0@4 - 'Blue Hydrangea' - <no NBT>]"
"flowerBluebells","[biomesoplenty:flower_1@2 - 'Bluebells' - <no NBT>]"
"flowerBromeliad","[biomesoplenty:flower_0@11 - 'Bromeliad' - <no NBT>]"
"flowerBurningBlossom","[biomesoplenty:flower_0@15 - 'Burning Blossom' - <no NBT>]"
"flowerClover","[biomesoplenty:flower_0@0 - 'Clover' - <no NBT>]"
"flowerDeathbloom","[biomesoplenty:flower_0@2 - 'Deathbloom' - <no NBT>]"
"flowerEnderlotus","[biomesoplenty:flower_0@10 - 'Enderlotus' - <no NBT>]"
"flowerGlowflower","[biomesoplenty:flower_0@3 - 'Glowflower' - <no NBT>]"
"flowerGoldenrod","[biomesoplenty:flower_1@1 - 'Goldenrod' - <no NBT>]"
"flowerIcyIris","[biomesoplenty:flower_1@4 - 'Icy Iris' - <no NBT>]"
"flowerLavender","[biomesoplenty:flower_1@0 - 'Lavender' - <no NBT>]"
"flowerLilyOfTheValley","[biomesoplenty:flower_0@14 - 'Lily of the Valley' - <no NBT>]"
"flowerMinersDelight","[biomesoplenty:flower_1@3 - 'Miner's Delight' - <no NBT>]"
"flowerOrangeCosmos","[biomesoplenty:flower_0@5 - 'Orange Cosmos' - <no NBT>]"
"flowerPinkDaffodil","[biomesoplenty:flower_0@6 - 'Pink Dafodil' - <no NBT>]"
"flowerPinkHibiscus","[biomesoplenty:flower_0@13 - 'Pink Hibiscus' - <no NBT>]"
"flowerRed","[minecraft:red_flower@0 - 'Poppy' - <no NBT>]"
"flowerRose","[biomesoplenty:flower_1@5 - 'Rose' - <no NBT>]"
"flowerSwampflower","[biomesoplenty:flower_0@1 - 'Swampflower' - <no NBT>]"
"flowerViolet","[biomesoplenty:flower_0@8 - 'Violet' - <no NBT>]"
"flowerWhiteAnemone","[biomesoplenty:flower_0@9 - 'White Anemone' - <no NBT>]"
"flowerWildflower","[biomesoplenty:flower_0@7 - 'Wildflower' - <no NBT>]"
"flowerWiltedLily","[biomesoplenty:flower_0@12 - 'Wilted Lily' - <no NBT>]"
"flowerYellow","[minecraft:yellow_flower@0 - 'Dandelion' - <no NBT>]"
"foilIron","[contenttweaker:material_part@18 - 'Iron Foil' - <no NBT>]"
"foilLumium","[contenttweaker:material_part@750 - 'Lumium Foil' - <no NBT>]"
"foilPolyethylene","[contenttweaker:material_part@787 - 'Polyethylene Foil' - <no NBT>]"
"foodAkutuq","[harvestcraft:akutuqitem@0 - 'Akutuq' - <no NBT>]"
"foodAlmondbutter","[harvestcraft:almondbutteritem@0 - 'Almond Butter' - <no NBT>]"
"foodAnchovypepperonipizza","[harvestcraft:anchovypepperonipizzaitem@0 - 'Anchovy Pepperoni Pizza' - <no NBT>]"
"foodAnchovyraw","[harvestcraft:anchovyrawitem@0 - 'Raw Anchovy' - <no NBT>]"
"foodApplecider","[birdsfoods:apple_cider@0 - 'Apple Cider' - <no NBT>]; [harvestcraft:applecideritem@0 - 'Apple Cider' - <no NBT>]"
"foodApplefritter","[harvestcraft:applefritteritem@0 - 'Apple Fritter' - <no NBT>]"
"foodApplejelly","[harvestcraft:applejellyitem@0 - 'Apple Jelly' - <no NBT>]"
"foodApplejellysandwich","[harvestcraft:applejellysandwichitem@0 - 'Apple Jelly Sandwich' - <no NBT>]"
"foodApplejuice","[birdsfoods:apple_juice@0 - 'Apple Juice' - <no NBT>]; [harvestcraft:applejuiceitem@0 - 'Apple Juice' - <no NBT>]"
"foodApplepie","[birdsfoods:apple_pie@0 - 'Apple Pie' - <no NBT>]; [harvestcraft:applepieitem@0 - 'Apple Pie' - <no NBT>]"
"foodApplesauce","[harvestcraft:applesauceitem@0 - 'Apple Sauce' - <no NBT>]"
"foodApplesmoothie","[harvestcraft:applesmoothieitem@0 - 'Apple Smoothie' - <no NBT>]"
"foodApplesnow","[harvestcraft:applesnowitem@0 - 'Apple Snow' - <no NBT>]"
"foodAppleyogurt","[harvestcraft:appleyogurtitem@0 - 'Apple Yogurt' - <no NBT>]"
"foodApricotglazedpork","[harvestcraft:apricotglazedporkitem@0 - 'Apricot Glazed Pork' - <no NBT>]"
"foodApricotjelly","[harvestcraft:apricotjellyitem@0 - 'Apricot Jelly' - <no NBT>]"
"foodApricotjellysandwich","[harvestcraft:apricotjellysandwichitem@0 - 'Apricot Jelly Sandwich' - <no NBT>]"
"foodApricotjuice","[harvestcraft:apricotjuiceitem@0 - 'Apricot Juice' - <no NBT>]"
"foodApricotsmoothie","[harvestcraft:apricotsmoothieitem@0 - 'Apricot Smoothie' - <no NBT>]"
"foodApricotyogurt","[harvestcraft:apricotyogurtitem@0 - 'Apricot Yogurt' - <no NBT>]"
"foodAsparagusquiche","[harvestcraft:asparagusquicheitem@0 - 'Asparagus Quiche' - <no NBT>]"
"foodAsparagussoup","[harvestcraft:asparagussoupitem@0 - 'Asparagus Soup' - <no NBT>]"
"foodAvocadoburrito","[harvestcraft:avocadoburritoitem@0 - 'Avocado Burrito' - <no NBT>]"
"foodBabaganoush","[harvestcraft:babaganoushitem@0 - 'Baba Ganoush' - <no NBT>]"
"foodBacon","[birdsfoods:bacon@0 - 'Bacon' - <no NBT>]"
"foodBaconandeggs","[harvestcraft:baconandeggsitem@0 - 'Bacon and Eggs' - <no NBT>]"
"foodBaconcheeseburger","[harvestcraft:baconcheeseburgeritem@0 - 'Bacon Cheeseburger' - <no NBT>]"
"foodBaconmushroomburger","[harvestcraft:baconmushroomburgeritem@0 - 'Bacon Mushroom Burger' - <no NBT>]"
"foodBaconpancakes","[harvestcraft:baconpancakesitem@0 - 'Bacon Pancakes' - <no NBT>]"
"foodBaconwrappedchili","[harvestcraft:baconwrappedchiliitem@0 - 'Bacon Wrapped Chili' - <no NBT>]"
"foodBaconwrappeddates","[harvestcraft:baconwrappeddatesitem@0 - 'Bacon Wrapped Dates' - <no NBT>]"
"foodBakedalaska","[harvestcraft:bakedalaskaitem@0 - 'Baked Alaska' - <no NBT>]"
"foodBakedbeans","[harvestcraft:bakedbeansitem@0 - 'Baked Beans' - <no NBT>]"
"foodBakedbeets","[harvestcraft:bakedbeetsitem@0 - 'Baked Beets' - <no NBT>]"
"foodBakedcactus","[harvestcraft:bakedcactusitem@0 - 'Baked Cactus' - <no NBT>]"
"foodBakedham","[harvestcraft:bakedhamitem@0 - 'Baked Ham' - <no NBT>]"
"foodBakedturnips","[harvestcraft:bakedturnipsitem@0 - 'Baked Turnips' - <no NBT>]"
"foodBaklava","[harvestcraft:baklavaitem@0 - 'Baklava' - <no NBT>]"
"foodBamboosteamedrice","[harvestcraft:bamboosteamedriceitem@0 - 'Bamboo Steamed Rice' - <no NBT>]"
"foodBananamilkshake","[harvestcraft:bananamilkshakeitem@0 - 'Banana Milkshake' - <no NBT>]"
"foodBanananutbread","[harvestcraft:banananutbreaditem@0 - 'Banana Nut Bread' - <no NBT>]"
"foodBananasmoothie","[harvestcraft:bananasmoothieitem@0 - 'Banana Smoothie' - <no NBT>]"
"foodBananasplit","[harvestcraft:bananasplititem@0 - 'Banana Split' - <no NBT>]"
"foodBananayogurt","[harvestcraft:bananayogurtitem@0 - 'Banana Yogurt' - <no NBT>]"
"foodBangersandmash","[harvestcraft:bangersandmashitem@0 - 'Bangers and Mash' - <no NBT>]"
"foodBassraw","[harvestcraft:bassrawitem@0 - 'Raw Bass' - <no NBT>]"
"foodBattenberg","[harvestcraft:battenbergitem@0 - 'Battenberg' - <no NBT>]"
"foodBatter","[harvestcraft:batteritem@0 - 'Batter' - <no NBT>]"
"foodBatteredsausage","[harvestcraft:batteredsausageitem@0 - 'Battered Sausage' - <no NBT>]"
"foodBbqchickenbiscuit","[harvestcraft:bbqchickenbiscuititem@0 - 'BBQ Chicken Biscuit' - <no NBT>]"
"foodBbqchickenpizza","[harvestcraft:bbqchickenpizzaitem@0 - 'BBQ Chicken Pizza' - <no NBT>]"
"foodBbqjackfruit","[harvestcraft:bbqjackfruititem@0 - 'BBQ Jackfruit' - <no NBT>]"
"foodBbqplatter","[harvestcraft:bbqplatteritem@0 - 'BBQ Platter' - <no NBT>]"
"foodBbqpotatochips","[harvestcraft:bbqpotatochipsitem@0 - 'BBQ Potato Chips' - <no NBT>]"
"foodBbqpulledpork","[harvestcraft:bbqpulledporkitem@0 - 'BBQ Pulled Pork' - <no NBT>]"
"foodBbqsauce","[harvestcraft:bbqsauceitem@0 - 'BBQ Sauce' - <no NBT>]"
"foodBeanburrito","[harvestcraft:beanburritoitem@0 - 'Bean Burrito' - <no NBT>]"
"foodBeansandrice","[harvestcraft:beansandriceitem@0 - 'Beans and Rice' - <no NBT>]"
"foodBeansontoast","[harvestcraft:beansontoastitem@0 - 'Beans on Toast' - <no NBT>]"
"foodBeefjerky","[xlfoodmod:beef_jerky@0 - 'Beef Jerky' - <no NBT>]; [harvestcraft:beefjerkyitem@0 - 'Beef Jerky' - <no NBT>]"
"foodBeefwellington","[harvestcraft:beefwellingtonitem@0 - 'Beef Wellington' - <no NBT>]"
"foodBeer","[birdsfoods:beer@0 - 'Beer' - <no NBT>]"
"foodBeetburger","[harvestcraft:beetburgeritem@0 - 'Beet Burger' - <no NBT>]"
"foodBeetjuice","[birdsfoods:beet_juice@0 - 'Beet Juice' - <no NBT>]"
"foodBeetsalad","[harvestcraft:beetsaladitem@0 - 'Beet Salad' - <no NBT>]"
"foodBeetsoup","[harvestcraft:beetsoupitem@0 - 'Beet Soup' - <no NBT>]"
"foodBentobox","[harvestcraft:bentoboxitem@0 - 'Bento Box' - <no NBT>]"
"foodBerrymeringuenest","[harvestcraft:berrymeringuenestitem@0 - 'Berry Meringue Nest' - <no NBT>]"
"foodBerryvinaigrettesalad","[harvestcraft:berryvinaigrettesaladitem@0 - 'Berry Vinaigrette Salad' - <no NBT>]"
"foodBibimbap","[harvestcraft:bibimbapitem@0 - 'Bibimbap' - <no NBT>]"
"foodBiscuit","[harvestcraft:biscuititem@0 - 'Biscuit' - <no NBT>]"
"foodBiscuitsandgravy","[harvestcraft:biscuitsandgravyitem@0 - 'Biscuits and Gravy' - <no NBT>]"
"foodBlackberrycobbler","[harvestcraft:blackberrycobbleritem@0 - 'Blackberry Cobbler' - <no NBT>]"
"foodBlackberryjelly","[harvestcraft:blackberryjellyitem@0 - 'Blackberry Jelly' - <no NBT>]"
"foodBlackberryjellysandwich","[harvestcraft:blackberryjellysandwichitem@0 - 'Blackberry Jelly Sandwich' - <no NBT>]"
"foodBlackberryjuice","[harvestcraft:blackberryjuiceitem@0 - 'Blackberry Juice' - <no NBT>]"
"foodBlackberrysmoothie","[harvestcraft:blackberrysmoothieitem@0 - 'Blackberry Smoothie' - <no NBT>]"
"foodBlackberryyogurt","[harvestcraft:blackberryyogurtitem@0 - 'Blackberry Yogurt' - <no NBT>]"
"foodBlackpaella","[harvestcraft:blackpaellaitem@0 - 'Black Paella' - <no NBT>]"
"foodBlackpepper","[harvestcraft:blackpepperitem@0 - 'Black Pepper' - <no NBT>]"
"foodBlazingsoup","[harvestcraft:blazingsoupitem@0 - 'Blazing Soup' - <no NBT>]"
"foodBlt","[harvestcraft:bltitem@0 - 'BLT' - <no NBT>]"
"foodBlueberryjelly","[harvestcraft:blueberryjellyitem@0 - 'Blueberry Jelly' - <no NBT>]"
"foodBlueberryjellysandwich","[harvestcraft:blueberryjellysandwichitem@0 - 'Blueberry Jelly Sandwich' - <no NBT>]"
"foodBlueberryjuice","[harvestcraft:blueberryjuiceitem@0 - 'Blueberry Juice' - <no NBT>]"
"foodBlueberrymuffin","[harvestcraft:blueberrymuffinitem@0 - 'Blueberry Muffin' - <no NBT>]"
"foodBlueberrypancakes","[harvestcraft:blueberrypancakesitem@0 - 'Blueberry Pancakes' - <no NBT>]"
"foodBlueberrypie","[harvestcraft:blueberrypieitem@0 - 'Blueberry Pie' - <no NBT>]"
"foodBlueberrysmoothie","[harvestcraft:blueberrysmoothieitem@0 - 'Blueberry Smoothie' - <no NBT>]"
"foodBlueberryyogurt","[harvestcraft:blueberryyogurtitem@0 - 'Blueberry Yogurt' - <no NBT>]"
"foodBoiledegg","[birdsfoods:cooked_egg@0 - 'Cooked Egg' - <no NBT>]; [harvestcraft:boiledeggitem@0 - 'Boiled Egg' - <no NBT>]"
"foodBologna","[harvestcraft:bolognaitem@0 - 'Bologna' - <no NBT>]"
"foodBolognasandwich","[harvestcraft:bolognasandwichitem@0 - 'Bologna Sandwich' - <no NBT>]"
"foodBowlofrice","[biomesoplenty:ricebowl@0 - 'Bowl of Rice' - <no NBT>]"
"foodBraisedonions","[harvestcraft:braisedonionsitem@0 - 'Braised Onions' - <no NBT>]"
"foodBratwurst","[harvestcraft:bratwurstitem@0 - 'Bratwurst' - <no NBT>]"
"foodBread","[minecraft:bread@0 - 'Bread' - <no NBT>]"
"foodBreadedporkchop","[harvestcraft:breadedporkchopitem@0 - 'Breaded Porkchop' - <no NBT>]"
